Hash_Key1      Hash_Key2      Size
30             15             391            
30             16             304            
30             17             424            
30             18             564            
30             19             713            
30             20             500            
30             21             690            
30             22             910            
30             23             1131           
30             24             808            
30             25             1084           
30             26             1403           
30             27             1709           
30             28             3276           
30             29             3654           
31             0              0              
31             1              0              
31             2              0              
31             3              1              
31             4              4              
31             5              10             
31             6              20             
31             7              35             
31             8              56             
31             9              84             
31             10             120            
31             11             165            
31             12             156            
31             13             222            
31             14             300            
31             15             392            
31             16             304            
31             17             424            
31             18             560            
31             19             717            
31             20             500            
31             21             690            
31             22             900            
31             23             1141           
31             24             808            
31             25             1084           
31             26             1384           
31             27             1728           
31             28             3276           
31             29             3654           
31             30             4060           
32             0              0              
32             1              0              
32             2              0              
32             3              1              
32             4              4              
32             5              10             
32             6              20             
32             7              35             
32             8              56             
32             9              84             
32             10             120            
32             11             165            
32             12             157            
32             13             222            
32             14             300            
32             15             391            
32             16             308            
32             17             424            
32             18             560            
32             19             713            
32             20             510            
32             21             690            
32             22             900            
32             23             1131           
32             24             764            
32             25             1020           
32             26             1320           
32             27             1645           
32             28             1134           
32             29             1478           
32             30             1884           
32             31             2319           
33             0              0              
33             1              0              
33             2              0              
33             3              1              
33             4              4              
33             5              10             
33             6              20             
33             7              35             
33             8              56             
33             9              84             
33             10             120            
33             11             165            
33             12             156            
33             13             223            
33             14             300            
33             15             391            
33             16             304            
33             17             428            
33             18             560            
33             19             713            
33             20             500            
33             21             700            
33             22             900            
33             23             1131           
33             24             744            
33             25             1040           
33             26             1320           
33             27             1645           
33             28             1100           
33             29             1512           
33             30             1884           
33             31             2319           
33             32             4960           
34             0              0              
34             1              0              
34             2              0              
34             3              1              
34             4              4              
34             5              10             
34             6              20             
34             7              35             
34             8              56             
34             9              84             
34             10             120            
34             11             165            
34             12             156            
34             13             222            
34             14             301            
34             15             391            
34             16             304            
34             17             424            
34             18             564            
34             19             713            
34             20             500            
34             21             690            
34             22             910            
34             23             1131           
34             24             744            
34             25             1020           
34             26             1340           
34             27             1645           
34             28             1100           
34             29             1478           
34             30             1918           
34             31             2319           
34             32             4960           
34             33             5456           
35             0              0              
35             1              0              
35             2              0              
35             3              1              
35             4              4              
35             5              10             
35             6              20             
35             7              35             
35             8              56             
35             9              84             
35             10             120            
35             11             165            
35             12             156            
35             13             222            
35             14             300            
35             15             392            
35             16             304            
35             17             424            
35             18             560            
35             19             717            
35             20             500            
35             21             690            
35             22             900            
35             23             1141           
35             24             744            
35             25             1020           
35             26             1320           
35             27             1665           
35             28             1100           
35             29             1478           
35             30             1884           
35             31             2353           
35             32             4960           
35             33             5456           
35             34             5984           
36             0              0              
36             1              0              
36             2              0              
36             3              1              
36             4              4              
36             5              10             
36             6              20             
36             7              35             
36             8              56             
36             9              84             
36             10             120            
36             11             165            
36             12             157            
36             13             222            
36             14             300            
36             15             391            
36             16             308            
36             17             424            
36             18             560            
36             19             713            
36             20             510            
36             21             690            
36             22             900            
36             23             1131           
36             24             764            
36             25             1020           
36             26             1320           
36             27             1645           
36             28             1071           
36             29             1414           
36             30             1820           
36             31             2255           
36             32             1495           
36             33             1936           
36             34             2464           
36             35             3025           
37             0              0              
37             1              0              
37             2              0              
37             3              1              
37             4              4              
37             5              10             
37             6              20             
37             7              35             
37             8              56             
37             9              84             
37             10             120            
37             11             165            
37             12             156            
37             13             223            
37             14             300            
37             15             391            
37             16             304            
37             17             428            
37             18             560            
37             19             713            
37             20             500            
37             21             700            
37             22             900            
37             23             1131           
37             24             744            
37             25             1040           
37             26             1320           
37             27             1645           
37             28             1036           
37             29             1449           
37             30             1820           
37             31             2255           
37             32             1440           
37             33             1991           
37             34             2464           
37             35             3025           
37             36             7140           
38             0              0              
38             1              0              
38             2              0              
38             3              1              
38             4              4              
38             5              10             
38             6              20             
38             7              35             
38             8              56             
38             9              84             
38             10             120            
38             11             165            
38             12             156            
38             13             222            
38             14             301            
38             15             391            
38             16             304            
38             17             424            
38             18             564            
38             19             713            
38             20             500            
38             21             690            
38             22             910            
38             23             1131           
38             24             744            
38             25             1020           
38             26             1340           
38             27             1645           
38             28             1036           
38             29             1414           
38             30             1855           
38             31             2255           
38             32             1440           
38             33             1936           
38             34             2519           
38             35             3025           
38             36             7140           
38             37             7770           
39             0              0              
39             1              0              
39             2              0              
39             3              1              
39             4              4              
39             5              10             
39             6              20             
39             7              35             
39             8              56             
39             9              84             
39             10             120            
39             11             165            
39             12             156            
39             13             222            
39             14             300            
39             15             392            
39             16             304            
39             17             424            
39             18             560            
39             19             717            
39             20             500            
39             21             690            
39             22             900            
39             23             1141           
39             24             744            
39             25             1020           
39             26             1320           
39             27             1665           
39             28             1036           
39             29             1414           
39             30             1820           
39             31             2290           
39             32             1440           
39             33             1936           
39             34             2464           
39             35             3080           
39             36             7140           
39             37             7770           
39             38             8436           
40             0              0              
40             1              0              
40             2              0              
40             3              1              
40             4              4              
40             5              10             
40             6              20             
40             7              35             
40             8              56             
40             9              84             
40             10             120            
40             11             165            
40             12             157            
40             13             222            
40             14             300            
40             15             391            
40             16             308            
40             17             424            
40             18             560            
40             19             713            
40             20             510            
40             21             690            
40             22             900            
40             23             1131           
40             24             764            
40             25             1020           
40             26             1320           
40             27             1645           
40             28             1071           
40             29             1414           
40             30             1820           
40             31             2255           
40             32             1432           
